day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
4,2009,01,01,2009-01-01,12.2,2.8,1012.6,11.4,18.5,26.0,33.0,21.2,5.0,0.55,5.1,0,327625
5,2009,01,02,2009-01-02,20.0,12.0,1015.5,13.7,7.4,20.0,21.0,39.9,5.0,0.0,3.1,0,376708
6,2009,01,03,2009-01-03,30.0,20.2,1007.1,11.7,10.8,18.1,24.1,35.1,26.6,0.0,2.0,0,432710
7,2009,01,04,2009-01-04,26.1,13.7,1012.4,15.0,11.5,17.1,24.1,35.6,21.2,0.0,2.0,0,367525
1,2009,01,05,2009-01-05,31.2,24.7,1012.2,13.1,3.9,8.9,999.9,41.0,19.4,0.0,1.2,0,370901
2,2009,01,06,2009-01-06,30.4,17.8,1015.4,14.4,5.7,12.0,999.9,35.6,26.6,0.0,1.2,0,427394
3,2009,01,07,2009-01-07,33.4,31.0,1005.1,4.3,5.2,11.1,999.9,46.9,28.4,0.45,999.9,1,371043
4,2009,01,08,2009-01-08,37.9,30.7,989.8,9.7,16.4,27.0,35.0,48.2,32.0,0.65,999.9,1,477502
5,2009,01,09,2009-01-09,25.7,12.4,1006.3,15.0,13.8,20.0,26.0,33.1,21.2,0.0,999.9,0,520846
6,2009,01,10,2009-01-10,21.6,9.6,1021.9,14.5,6.9,20.0,999.9,28.9,15.8,99.99,999.9,0,483350
7,2009,01,11,2009-01-11,28.8,27.3,1009.7,3.7,9.0,21.0,25.1,39.0,21.2,0.49,2.0,0,405075
1,2009,01,12,2009-01-12,26.9,21.9,1017.0,9.6,5.8,12.0,999.9,32.0,19.4,0.07,1.2,0,414642
2,2009,01,13,2009-01-13,23.4,18.4,1022.0,14.0,3.3,8.9,999.9,35.6,10.4,0.02,1.2,0,442543
3,2009,01,14,2009-01-14,28.9,17.8,1010.2,13.0,9.7,22.0,31.1,42.1,17.6,0.19,999.9,0,489177
4,2009,01,15,2009-01-15,15.6,7.2,1021.5,8.6,7.5,14.0,999.9,21.9,14.0,0.0,3.9,1,486450
5,2009,01,16,2009-01-16,8.1,-2.2,1028.8,15.0,4.9,12.0,999.9,17.1,-5.8,0.19,3.1,0,535200
6,2009,01,17,2009-01-17,10.2,-0.1,1032.4,14.8,3.6,8.9,999.9,19.0,1.4,0.0,2.0,0,511023
7,2009,01,18,2009-01-18,27.3,25.4,1019.4,6.0,5.6,16.9,20.0,39.0,12.2,0.34,2.0,0,419962
1,2009,01,19,2009-01-19,31.9,30.1,1004.3,5.1,4.5,7.0,999.9,37.0,28.4,0.3,1.2,0,352534
2,2009,01,20,2009-01-20,29.8,26.4,1002.5,7.4,4.1,13.0,999.9,33.1,26.6,0.08,2.0,0,433639
3,2009,01,21,2009-01-21,23.4,15.4,1006.8,9.9,8.4,15.0,18.1,32.0,17.6,0.02,2.0,0,478268
4,2009,01,22,2009-01-22,25.1,14.5,1011.9,14.2,10.1,17.1,21.0,33.8,19.4,0.0,1.2,0,498241
5,2009,01,23,2009-01-23,30.1,23.4,1015.6,14.2,5.1,12.0,999.9,41.0,14.0,0.0,1.2,0,519394
6,2009,01,24,2009-01-24,36.9,26.0,1008.8,10.6,11.8,15.9,25.1,44.6,23.0,0.0,999.9,0,547591
7,2009,01,25,2009-01-25,15.1,3.7,1024.0,15.0,8.7,15.0,19.0,26.1,5.0,0.0,999.9,0,460723
1,2009,01,26,2009-01-26,19.3,5.8,1027.9,15.0,3.4,9.9,999.9,28.4,8.6,0.0,999.9,0,434081
2,2009,01,27,2009-01-27,20.8,9.4,1029.6,15.0,3.2,8.9,999.9,30.2,12.2,0.0,999.9,0,471788
3,2009,01,28,2009-01-28,29.8,26.7,1024.9,7.3,7.3,25.1,34.0,57.2,15.8,0.21,1.2,1,455187
4,2009,01,29,2009-01-29,36.4,28.5,1006.8,10.4,13.8,28.9,40.0,57.2,26.6,1.06,999.9,0,503352
5,2009,01,30,2009-01-30,26.7,20.4,1012.2,14.6,4.7,12.0,15.9,35.6,15.8,0.0,999.9,0,538365
6,2009,01,31,2009-01-31,25.7,15.7,1008.7,11.4,10.1,17.1,22.9,32.0,21.2,0.0,999.9,0,539574
7,2009,02,01,2009-02-01,30.4,19.0,1013.3,15.0,9.8,21.0,29.9,48.2,17.6,0.0,999.9,0,429758
1,2009,02,02,2009-02-02,38.1,32.4,1013.7,11.0,3.6,11.1,999.9,53.6,23.0,0.0,999.9,1,403372
2,2009,02,03,2009-02-03,34.2,29.8,1009.4,6.1,15.4,25.1,36.9,39.2,24.8,0.03,3.1,1,452356
3,2009,02,04,2009-02-04,22.2,17.6,1011.0,8.9,6.3,17.1,999.9,28.9,12.2,0.28,3.9,0,356567
4,2009,02,05,2009-02-05,8.3,1.0,1018.9,15.0,10.2,19.0,21.0,17.1,3.2,0.0,3.1,0,535477
5,2009,02,06,2009-02-06,12.8,3.9,1027.0,15.0,6.7,21.0,999.9,26.1,5.0,0.0,2.0,0,546688
6,2009,02,07,2009-02-07,22.8,16.2,1027.0,13.8,6.7,17.1,24.1,44.6,1.4,0.0,1.2,0,513313
7,2009,02,08,2009-02-08,46.2,36.3,1011.3,11.4,15.4,22.0,28.9,57.2,39.9,0.0,999.9,0,425839
1,2009,02,09,2009-02-09,33.6,18.2,1023.4,15.0,7.6,13.0,15.9,39.2,26.6,0.0,999.9,0,406198
2,2009,02,10,2009-02-10,29.2,21.1,1027.3,14.6,3.5,9.9,999.9,39.2,21.2,0.0,999.9,0,445672
3,2009,02,11,2009-02-11,45.7,41.0,1013.4,6.3,5.1,8.9,999.9,60.8,37.4,0.0,999.9,0,463213
4,2009,02,12,2009-02-12,49.0,43.7,992.8,6.2,14.7,23.9,35.0,53.6,42.1,0.18,999.9,1,510174
5,2009,02,13,2009-02-13,39.1,22.8,1000.3,14.3,16.7,22.9,29.9,46.4,30.2,0.0,999.9,0,549188
6,2009,02,14,2009-02-14,31.4,12.5,1008.9,14.8,12.5,18.1,22.0,44.6,23.0,0.0,999.9,0,539684
7,2009,02,15,2009-02-15,31.0,15.6,1011.6,15.0,6.0,13.0,999.9,41.0,21.2,0.0,999.9,0,451649
1,2009,02,16,2009-02-16,28.3,20.9,1018.0,15.0,5.7,11.1,14.0,39.2,21.2,0.0,999.9,0,391436
2,2009,02,17,2009-02-17,29.8,23.2,1020.6,13.5,9.0,14.0,999.9,35.6,23.0,0.0,999.9,0,450460
3,2009,02,18,2009-02-18,25.6,20.1,1018.9,13.3,4.8,12.0,999.9,39.2,10.4,0.02,999.9,0,487630
4,2009,02,19,2009-02-19,41.3,39.4,996.2,3.5,8.6,21.0,26.0,50.0,32.0,0.35,999.9,1,507718
5,2009,02,20,2009-02-20,27.4,14.8,999.3,11.7,16.8,22.9,31.1,41.0,21.2,0.0,999.9,0,561972
6,2009,02,21,2009-02-21,30.1,16.7,1015.5,15.0,13.1,22.0,24.1,39.2,24.8,0.0,999.9,0,522269
7,2009,02,22,2009-02-22,34.9,31.6,1019.5,10.2,5.8,15.0,17.1,42.8,24.8,0.23,999.9,0,445271
1,2009,02,23,2009-02-23,32.6,21.1,1007.2,12.6,18.4,28.0,34.0,41.0,26.6,0.13,999.9,0,455091
2,2009,02,24,2009-02-24,26.1,11.1,1018.2,15.0,10.3,17.1,20.0,37.4,17.6,0.0,999.9,0,487119
3,2009,02,25,2009-02-25,27.1,15.1,1028.7,15.0,2.4,9.9,999.9,37.4,14.0,0.0,999.9,0,487081
4,2009,02,26,2009-02-26,33.7,26.8,1028.6,14.5,5.8,15.0,999.9,48.2,19.4,0.0,999.9,0,500984
5,2009,02,27,2009-02-27,46.0,39.9,1022.7,15.0,9.6,19.0,28.0,60.8,35.1,99.99,999.9,0,526500
6,2009,02,28,2009-02-28,46.9,40.3,1016.7,10.3,13.2,21.0,27.0,55.4,33.8,0.37,999.9,1,527443
7,2009,03,01,2009-03-01,32.1,27.1,1020.6,7.8,13.3,22.0,28.0,35.1,28.4,0.04,1.2,0,431713
1,2009,03,02,2009-03-02,29.1,27.2,1009.0,2.4,18.4,28.9,38.1,35.1,24.8,0.46,3.1,0,327874
2,2009,03,03,2009-03-03,19.2,11.2,1015.8,10.0,8.0,21.0,999.9,28.0,12.2,0.16,3.1,0,472839
3,2009,03,04,2009-03-04,18.9,2.5,1024.3,15.0,8.6,15.9,21.0,30.2,6.8,0.0,3.1,0,488197
4,2009,03,05,2009-03-05,25.6,12.7,1028.9,15.0,7.1,14.0,999.9,35.6,15.8,0.0,2.0,0,427688
5,2009,03,06,2009-03-06,41.3,33.7,1022.4,12.3,12.4,22.9,33.0,51.8,30.2,0.0,2.0,0,527054
6,2009,03,07,2009-03-07,51.1,39.2,1015.5,9.6,9.5,15.0,999.9,68.0,39.2,0.0,999.9,0,491087
7,2009,03,08,2009-03-08,52.7,42.6,1010.2,11.5,8.8,20.0,28.0,64.4,41.0,0.0,999.9,0,409911
1,2009,03,09,2009-03-09,39.6,37.9,1013.7,6.6,7.9,22.0,25.1,46.4,33.8,0.39,999.9,0,406846
2,2009,03,10,2009-03-10,36.5,30.7,1026.5,12.9,6.5,15.0,999.9,46.4,24.8,0.29,999.9,0,475324
3,2009,03,11,2009-03-11,43.8,40.7,1023.3,8.6,11.0,25.1,32.1,53.6,37.4,0.0,999.9,1,484218
4,2009,03,12,2009-03-12,38.8,20.9,1022.9,11.3,9.3,15.9,24.1,46.4,30.2,0.0,999.9,1,529308
5,2009,03,13,2009-03-13,29.0,13.4,1032.3,15.0,6.2,15.0,999.9,35.6,23.0,0.0,999.9,0,552598
6,2009,03,14,2009-03-14,32.8,23.8,1026.0,15.0,4.5,8.9,999.9,46.4,19.4,0.0,999.9,0,515382
7,2009,03,15,2009-03-15,42.0,32.5,1022.1,11.5,5.0,8.0,999.9,55.4,32.0,0.0,999.9,0,418081
1,2009,03,16,2009-03-16,36.7,30.4,1026.2,9.9,7.0,13.0,999.9,44.6,26.6,0.0,999.9,0,376433
2,2009,03,17,2009-03-17,36.6,27.1,1026.4,15.0,4.7,8.9,999.9,50.0,24.8,0.0,999.9,0,461084
3,2009,03,18,2009-03-18,40.7,29.5,1022.9,15.0,9.0,21.0,26.0,55.4,26.6,0.0,999.9,0,450035
4,2009,03,19,2009-03-19,44.5,39.5,1016.7,11.2,8.7,15.0,21.0,50.0,39.2,0.13,999.9,0,496540
